Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
conBot-R-K4-GenT/80,1.8106230089062913e-4,1.796369888740813e-4,1.8263237283335526e-4,5.608558188063584e-6,4.451491124981118e-6,8.536163961582966e-6
conBot-R-K4-GenT/90,2.2275873543086802e-4,2.2088293139783363e-4,2.2817671828166794e-4,1.1056693144840934e-5,4.708869301699907e-6,2.1882690889270312e-5
conBot-R-K4-GenT/100,2.69343134552865e-4,2.675854823302688e-4,2.716121357791912e-4,7.937813121944776e-6,5.877798723144093e-6,1.2164880749170152e-5
conBot-L-K4-GenZ/10,5.4675461157674e-6,5.402585908442743e-6,5.664066976403215e-6,4.193650117827924e-7,1.3789515715078414e-7,8.5176387124576e-7
conBot-L-K4-GenZ/20,1.4842973930750246e-5,1.4610470336334308e-5,1.582033367567309e-5,1.4197298554387206e-6,4.6717849621963e-7,3.1968926495968475e-6
conBot-L-K4-GenZ/30,2.7104046161391448e-5,2.6932424728788383e-5,2.727626364965798e-5,7.254560861704166e-7,6.418152674171883e-7,8.17278121607874e-7
conBot-L-K4-GenZ/40,4.3260887075860503e-5,4.298937084973513e-5,4.356976814610646e-5,1.0809278100552452e-6,9.400889763551619e-7,1.222498069236791e-6
conBot-L-K4-GenZ/50,6.370043848203562e-5,6.317192124426617e-5,6.454934401712499e-5,2.459023971592305e-6,1.7048966999858682e-6,4.246276067744897e-6
conBot-L-K4-GenZ/60,9.099015113919523e-5,9.003419282904205e-5,9.350547540312516e-5,5.419868033017665e-6,2.443970636293649e-6,1.1208206568746204e-5
conBot-L-K4-GenZ/70,1.1622848089855881e-4,1.1445816624775499e-4,1.2044527783967256e-4,1.0368987971486576e-5,5.26425382429444e-6,1.9160140025772793e-5
conBot-L-K4-GenZ/80,1.427923723519423e-4,1.4184875917682422e-4,1.4393356874175487e-4,3.876297761848916e-6,3.185164637149583e-6,4.686945268032341e-6
conBot-L-K4-GenZ/90,1.7844586360987123e-4,1.7722538511236844e-4,1.8029673220149188e-4,5.7624783310867825e-6,4.457682160114413e-6,9.494861021206403e-6
conBot-L-K4-GenZ/100,2.1796899102370177e-4,2.1523601024334979e-4,2.2913138851527335e-4,1.7502050982073627e-5,5.957735184644446e-6,3.860203591349794e-5
conBot-L-K4-GenT/10,9.087656111882945e-6,9.030496860664323e-6,9.189915933300001e-6,2.879165325755443e-7,2.0351081823810456e-7,4.6760264245527145e-7
conBot-L-K4-GenT/20,2.1708523144166014e-5,2.1559215747790206e-5,2.191736985406281e-5,7.209059594926924e-7,5.443519543759428e-7,1.00193243583268e-6
conBot-L-K4-GenT/30,3.926763324823478e-5,3.8291755798831645e-5,4.261411175186675e-5,6.660244032739633e-6,1.1043726684567391e-6,1.4085358027113944e-5
conBot-L-K4-GenT/40,5.7902256760812985e-5,5.736204641826936e-5,5.937404689216555e-5,3.123902515980218e-6,1.6676858282271427e-6,5.891933991464764e-6
conBot-L-K4-GenT/50,8.143755945814423e-5,8.098737085881211e-5,8.198731058421743e-5,2.0197964650081513e-6,1.704404343810302e-6,2.6286094315245545e-6
conBot-L-K4-GenT/60,1.0937708506084756e-4,1.0875807252912487e-4,1.1008487178031163e-4,2.549742296147399e-6,2.1574541328839883e-6,3.2946717337728166e-6
conBot-L-K4-GenT/70,1.3835403322312104e-4,1.3742770716930746e-4,1.3962810755316872e-4,4.313115127379664e-6,3.591807506231098e-6,5.123269669986343e-6
conBot-L-K4-GenT/80,1.7109057386424474e-4,1.702320788497039e-4,1.723984235733784e-4,4.0148188812622315e-6,3.214163073396066e-6,5.218554855520405e-6
conBot-L-K4-GenT/90,2.0998335535406053e-4,2.087051447248226e-4,2.116238872466819e-4,5.713961303138872e-6,4.596894971812533e-6,7.8295517118024e-6
conBot-L-K4-GenT/100,2.488072460209232e-4,2.475981079270515e-4,2.515674198709705e-4,6.735638461118754e-6,4.1330620405559025e-6,1.2228216652956599e-5
conBot-R-GL-GenZ/10,1.0884653145455377e-6,1.0822743299047211e-6,1.0949944640976186e-6,2.4281802979237057e-8,2.0792895543307995e-8,2.8615568293758452e-8
conBot-R-GL-GenZ/20,1.5973232039797956e-6,1.58688019050742e-6,1.609659022751691e-6,4.3164090389582234e-8,3.796599429987661e-8,5.588338055269385e-8
conBot-R-GL-GenZ/30,2.0650432874576055e-6,2.0561508908554633e-6,2.077201516232388e-6,4.0812708041754366e-8,3.108792974754879e-8,5.5711931291772884e-8
conBot-R-GL-GenZ/40,2.5721663737343886e-6,2.5577445811040245e-6,2.5931327142616926e-6,6.344216782821917e-8,4.918205414153686e-8,8.646181259977632e-8
conBot-R-GL-GenZ/50,3.0974877586606436e-6,3.080311332828054e-6,3.119753469458649e-6,7.824508304250505e-8,5.829346552330562e-8,1.3073681191481394e-7
